items,freq
['5773372'],17
['5883316'],24
['5829280'],27
['5854819'],49
['5714897'],65
['5696861'],30
['5839654'],21
['5815730'],172
['5815730' '5849033'],22
['5815730' '5751422'],37
['5815730' '5809910'],25
['37047'],34
['5674753'],41
['5783935'],40
['5771964'],116
['5771964' '5759279'],25
['5771964' '5808501'],18
['5706142'],24
['5875550'],56
['5787015'],26
['5837928'],29
['5736504'],50
['5760096'],77
['5760096' '5759279'],18
['5760096' '5304'],22
['5818395'],35
['5773365'],34
['5843079'],71
['5875445'],21
['5878923'],128
['5892050'],21
['5865606'],23
['5795273'],43
['5902893'],26
['5734590'],26
['5728072'],42
['5728072' '7681'],20
['5692261'],18
['5852597'],30
['6846'],52
['5844311'],19
['5540779'],17
['5770381'],19
['5815661'],74
['5834648'],19
['5877207'],68
['5868465'],143
['5868465' '5759492'],21
['5893846'],31
['5775981'],21
['5773608'],23
['5830557'],36
['5808666'],23
['5846444'],43
['5896182'],18
['5670334'],54
['5649205'],17
['5683743'],19
['5818264'],27
['5906119'],19
['5875414'],21
['5815659'],31
['44151'],36
['5745314'],106
['5745314' '5808567'],18
['5745314' '5745313'],69
['5808570'],20
['5766981'],35
['5766981' '5749199'],20
['5899929'],76
['5899929' '5899852'],18
['5854109'],19
['5875785'],22
['5683563'],19
['5896178'],159
['5896178' '5809910'],19
['5857320'],21
['5635068'],32
['5861330'],21
['60185'],37
['5861111'],24
['5861111' '5861102'],19
['5861111' '5861112'],18
['5723500'],45
['82955'],27
['5859462'],43
['5830556'],18
['5804463'],55
['5804463' '5804462'],26
['5649092'],18
['9169'],20
['5889091'],17
['5736333'],28
['5712518'],19
['5894913'],32
['5817680'],21
['5875513'],73
['5585356'],37
['5835865'],22
['24336'],17
['5723521'],42
['5832415'],70
['5816175'],122
['5816175' '5816166'],29
['5816175' '5816166' '5809910'],18
['5816175' '5809911'],27
['5816175' '5809911' '5816170'],18
['5816175' '5809911' '5809912'],22
['5816175' '5809911' '5809910'],18
['5816175' '5816169'],21
['5816175' '5816172'],39
['5816175' '5816172' '5809911'],19
['5816175' '5816172' '5809912'],22
['5816175' '5816172' '5816170'],17
['5816175' '5816172' '5809910'],25
['5816175' '5816178'],21
['5816175' '5809912'],38
['5816175' '5809912' '5809910'],24
['5816175' '5816170'],32
['5816175' '5816170' '5809912'],18
['5816175' '5816170' '5809910'],21
['5816175' '5809910'],55
['5699779'],30
['5813493'],36
['5885389'],24
['5869143'],52
['5896618'],27
['5724662'],31
['5560754'],84
['5839650'],79
['5816166'],279
['5816166' '5809911'],70
['5816166' '5809911' '5809912'],37
['5816166' '5809911' '5809912' '5809910'],31
['5816166' '5809911' '5816170'],43
['5816166' '5809911' '5816170' '5809912'],30
['5816166' '5809911' '5816170' '5809912' '5809910'],28
['5816166' '5809911' '5816170' '5809910'],33
['5816166' '5809911' '5809910'],47
['5816166' '5816170'],92
['5816166' '5816170' '5809912'],46
['5816166' '5816170' '5809912' '5809910'],41
['5816166' '5816170' '5809910'],64
['5816166' '5809912'],78
['5816166' '5809912' '5809910'],57
['5816166' '5809910'],135
['5853711'],35
['5615144'],203
['5615144' '5686925'],18
['5615144' '5802432'],17
['5615144' '5854897'],17
